	Unnamed: 0	LM_ID	Common Name	Adduct	Category	Main Class	Sub Class	Exact m/z	Formula	Observed m/z	ppm Error	RT	NET	Intensity	Peak Area	Score	MS/MS Scan	Precursor Scan	Apex Scan	PUBCHEM_SID	PUBCHEM_CID	INCHI_KEY	KEGG_ID	HMDBID	CHEBI_ID	LIPIDAT_ID	LIPIDBANK_ID	Pearson Corr Score	Pearson Corr M-1 Score	Cosine Score	Cosine M-1 Score	Class
88	88	XXX_895	PG(13:8/18:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	669.189	C37H34O10P1	669.1594335	-44.18448821	9.14476	0.101467226	9329.823242		-9.330454142999999	802	793	806						0	0		0.999267801	0.0	0.995135556	0.0	0
89	89	XXX_990	PG(16:11/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	669.189	C37H34O10P1	669.1594335	-44.18448821	9.14476	0.101467226	9329.823242		-9.330454142999999	802	793	806						0	0		0.999267801	0.0	0.995135556	0.0	0
254	254	XXX_LMGP04010510	PG(19:8/22:13)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	805.3142	C47H50O10P1	805.3550409	50.71169087	38.65776	0.428933694	450.6894531		-4.973399895	1773	1768	3614	123064335.0	52926775.0	LNPMRTGVHOWMKC-UGLGDMGDSA-N			0	0		0.0	0.0	0.0	0.0	0
255	255	XXX_LMGP04010834	PG(19:8/22:13)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	805.3142	C47H50O10P1	805.3550409	50.71169087	38.65776	0.428933694	450.6894531		-4.973399895	1773	1768	3614	123064659.0	52927099.0	CNZVYYRTSMWFMY-GCHBHLGGSA-N			0	0		0.0	0.0	0.0	0.0	0
484	484	XXX_LMGP04010969	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-7.675594032999999	2416	2405	2366	123064794.0	52927232.0	AVYCPFCVUIQANK-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
485	485	XXX_LMGP04010705	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-7.675594032999999	2416	2405	2366	123064530.0	52926970.0	IJGNYRALFZQDBU-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
486	486	XXX_LMGP04010243	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-6.44391021	2416	2405	2366	123064068.0	52926508.0	HRIUOHXLFSYLLE-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
487	487	XXX_LMGP04010682	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-6.44391021	2416	2405	2366	123064507.0	52926947.0	BDCQSBKXGUEMPI-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
488	488	XXX_LMGP04010965	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-9.330454142999999	2416	2405	2366	123064790.0	52927228.0	FPQWNUSDDZYJOS-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
489	489	XXX_LMGP04010953	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-9.330454142999999	2416	2405	2366	123064778.0	52927216.0	GEIDVWGVYXUOJJ-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
490	490	XXX_LMGP04010868	PG(19:7/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4033423999998	34.142354	25.32359333	0.2809822	7673.995605		-9.330454142999999	2416	2405	2366	123064693.0	52927133.0	QQAUZBJYZARSDB-ACEXITHZSA-N			0	0		0.999929502	0.0	0.998799604	0.0	0
569	569	XXX_LMGP04010048	PG(12:7/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1749909	-22.55255432	27.48842667	0.305002473	146810.5313		-9.330454142999999	2568	2561	2574	123063873.0	52926313.0	WSJHALNWVJOWBQ-YCBBFNCBSA-N			0	0		1.0	0.0	0.997389034	0.0	0
570	570	XXX_LMGP04010161	PG(12:7/15:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1749909	-22.55255432	27.48842667	0.305002473	146810.5313		-9.330454142999999	2568	2561	2574	123063986.0	52926426.0	PTDCHYUZNINITM-YCBBFNCBSA-N			0	0		1.0	0.0	0.997389034	0.0	0
571	571	XXX_LMGP04010070	PG(13:7/14:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1749909	-22.55255432	27.48842667	0.305002473	146810.5313		-9.330454142999999	2568	2561	2574	123063895.0	52926335.0	KXGQVUOZHICTOQ-XXFKESNDSA-N			0	0		1.0	0.0	0.997389034	0.0	0
572	572	XXX_LMGP04010110	PG(13:7/14:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1749909	-22.55255432	27.48842667	0.305002473	146810.5313		-9.330454142999999	2568	2561	2574	123063935.0	52926375.0	LXJCMLHVLAKIGZ-XXFKESNDSA-N			0	0		1.0	0.0	0.997389034	0.0	0
573	573	XXX_881	PG(13:8/14:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	621.189	C33H34O10P1	621.1749909	-22.55255432	27.48842667	0.305002473	146810.5313		-9.330454142999999	2568	2561	2574						0	0		1.0	0.0	0.997389034	0.0	0
648	648	XXX_LMGP04010969	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064794.0	52927232.0	AVYCPFCVUIQANK-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
649	649	XXX_LMGP04010705	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064530.0	52926970.0	IJGNYRALFZQDBU-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
650	650	XXX_LMGP04010243	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064068.0	52926508.0	HRIUOHXLFSYLLE-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
651	651	XXX_LMGP04010682	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064507.0	52926947.0	BDCQSBKXGUEMPI-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
652	652	XXX_LMGP04010965	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064790.0	52927228.0	FPQWNUSDDZYJOS-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
653	653	XXX_LMGP04010953	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064778.0	52927216.0	GEIDVWGVYXUOJJ-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
654	654	XXX_LMGP04010868	PG(19:7/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4032464	34.01888943	29.55442667	0.327926124	539675.3125		-9.330454142999999	2748	2743	2769	123064693.0	52927133.0	QQAUZBJYZARSDB-ACEXITHZSA-N			0	0		0.988110715	0.0	0.996009863	0.0	0
723	723	XXX_LMGP04010969	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-4.973399895	2880	2873	2860	123064794.0	52927232.0	AVYCPFCVUIQANK-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
724	724	XXX_LMGP04010705	PG(16:7/22:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-4.973399895	2880	2873	2860	123064530.0	52926970.0	IJGNYRALFZQDBU-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
725	725	XXX_LMGP04010243	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-2.427974133	2880	2873	2860	123064068.0	52926508.0	HRIUOHXLFSYLLE-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
726	726	XXX_LMGP04010682	PG(17:7/21:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-2.427974133	2880	2873	2860	123064507.0	52926947.0	BDCQSBKXGUEMPI-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
727	727	XXX_LMGP04010965	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-0.819290581	2880	2873	2860	123064790.0	52927228.0	FPQWNUSDDZYJOS-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
728	728	XXX_LMGP04010953	PG(18:7/20:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		-0.819290581	2880	2873	2860	123064778.0	52927216.0	GEIDVWGVYXUOJJ-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
729	729	XXX_LMGP04010868	PG(19:7/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	777.3768	C44H58O10P1	777.4026909	33.30438092	30.55076	0.338981109	4662.477051		1.509979763	2880	2873	2860	123064693.0	52927133.0	QQAUZBJYZARSDB-ACEXITHZSA-N			0	0		0.999345416	0.0	0.998514121	0.0	0
965	965	XXX_LMGP04010091	PG(13:7/22:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123063916.0	52926356.0	OYRUTYIUOJZYGW-CYUQVOCRSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
966	966	XXX_LMGP04010788	PG(13:7/22:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064613.0	52927053.0	NKZDGNIWWBPHCU-CYUQVOCRSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
967	967	XXX_LMGP04010154	PG(15:7/20:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-6.61127387	3602	3601	3588	123063979.0	52926419.0	KJZNRMPZPGVRPX-BEHVNCKSSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
968	968	XXX_LMGP04010624	PG(15:7/20:11)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-6.61127387	3602	3601	3588	123064449.0	52926889.0	VHSYKXXEXFBBGL-GGONITGYSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
969	969	XXX_LMGP04010183	PG(15:8/20:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064008.0	52926448.0	ZARDVUDZONHYSR-FXPXMINGSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
970	970	XXX_LMGP04010594	PG(15:8/20:10)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588	123064419.0	52926859.0	CSZSTBNJGNCXNE-FXPXMINGSA-N			0	0		0.998874957	0.0	0.995365715	0.0	0
971	971	XXX_968	PG(16:10/19:8)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-9.330454142999999	3602	3601	3588						0	0		0.998874957	0.0	0.995365715	0.0	0
972	972	XXX_1003	PG(16:11/19:7)	[M-H]-	Glycerophospholipids [GP]	Glycerophosphoglycerols [GP04]	Diacylglycerophosphoglycerols [GP0401]	727.2672	C41H44O10P1	727.2613109	-8.097592893	38.38376	0.425893481	14535.76465		-5.505747392000001	3602	3601	3588						0	0		0.998874957	0.0	0.995365715	0.0	0
